1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
269: Wiseman4 couldn't take right fork, now waiting
270: Wiseman4 couldn't take right fork, now waiting
271: Wiseman4 couldn't take right fork, now waiting
272: Wiseman4 couldn't take right fork, now waiting
273: Wiseman4 couldn't take right fork, now waiting
274: Wiseman4 couldn't take right fork, now waiting
275: Wiseman4 couldn't take right fork, now waiting
276: Wiseman4 couldn't take right fork, now waiting
277: Wiseman4 couldn't take right fork, now waiting
278: Wiseman4 couldn't take right fork, now waiting
279: Wiseman4 couldn't take right fork, now waiting
280: Wiseman4 couldn't take right fork, now waiting
281: Wiseman4 couldn't take right fork, now waiting
282: Wiseman4 couldn't take right fork, now waiting
283: Wiseman4 couldn't take right fork, now waiting
284: Wiseman4 couldn't take right fork, now waiting
285: Wiseman4 couldn't take right fork, now waiting
286: Wiseman4 couldn't take right fork, now waiting
287: Wiseman4 couldn't take right fork, now waiting
288: Wiseman4 couldn't take right fork, now waiting
289: Wiseman4 couldn't take right fork, now waiting
290: Wiseman4 couldn't take right fork, now waiting
291: Wiseman4 couldn't take right fork, now waiting
292: Wiseman4 couldn't take right fork, now waiting
293: Wiseman4 couldn't take right fork, now waiting
294: Wiseman4 couldn't take right fork, now waiting
295: Wiseman4 couldn't take right fork, now waiting
296: Wiseman4 couldn't take right fork, now waiting
297: Wiseman4 couldn't take right fork, now waiting
298: Wiseman4 couldn't take right fork, now waiting
299: Wiseman4 couldn't take right fork, now waiting
300: Wiseman4 couldn't take right fork, now waiting
301: Wiseman4 couldn't take right fork, now waiting
302: Wiseman4 couldn't take right fork, now waiting
303: Wiseman4 couldn't take right fork, now waiting
304: Wiseman4 couldn't take right fork, now waiting
305: Wiseman4 couldn't take right fork, now waiting
306: Wiseman4 couldn't take right fork, now waiting
307: Wiseman4 couldn't take right fork, now waiting
308: Wiseman4 couldn't take right fork, now waiting
309: Wiseman4 couldn't take right fork, now waiting
310: Wiseman4 couldn't take right fork, now waiting
311: Wiseman4 couldn't take right fork, now waiting
312: Wiseman4 couldn't take right fork, now waiting
313: Wiseman4 couldn't take right fork, now waiting
314: Wiseman4 couldn't take right fork, now waiting
